,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs
357,0.9196428571428571,0.7716666666666667,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.625,LGB_untuned,over,96,4,5,7,7.932337585218177,0.6,16,32,8
358,0.9196428571428571,0.7716666666666667,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.625,LGB,over,96,4,5,7,12.886964431866199,0.8,16,32,8
359,0.9196428571428571,0.7716666666666667,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.625,CatBoost_untuned,over,96,4,5,7,4.015304486767269,0.4,16,32,8
360,0.8888888888888888,0.521875,0.09090909090909091,0.5,0.05,0.17857142857142858,LDA,real,795,5,95,5,0.0,0.0,1,60,1
361,0.8155555555555556,0.550625,0.20192307692307693,0.19444444444444445,0.21,0.19736842105263155,SVM,real,713,87,79,21,0.2338678614459096,0.02,1,60,1
362,0.8877777777777778,0.499375,0.0,0.0,0.0,,RF_untuned,real,799,1,100,0,0.0,0.0,1,60,1
363,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,800,0,100,0,0.0,0.0,1,60,1
364,0.8755555555555555,0.4925,0.0,0.0,0.0,,XGB_untuned,real,788,12,100,0,0.0,0.0,1,60,1
365,0.8711111111111111,0.5075,0.06451612903225806,0.16666666666666666,0.04,0.10204081632653061,XGB,real,780,20,96,4,0.0,0.0,1,60,1
366,0.8811111111111111,0.495625,0.0,0.0,0.0,,LGB_untuned,real,793,7,100,0,0.0,0.0,1,60,1
367,0.8888888888888888,0.5131249999999999,0.056603773584905655,0.5,0.03,0.12096774193548386,LGB,real,797,3,97,3,0.0,0.0,1,60,1
368,0.8888888888888888,0.504375,0.0196078431372549,0.5,0.01,0.046296296296296294,CatBoost_untuned,real,799,1,99,1,0.0,0.0,1,60,1
369,0.8888888888888888,0.57875,0.2647058823529412,0.5,0.18,0.3688524590163934,LDA,real,391,9,41,9,0.0,0.0,1,60,2
370,0.86,0.615,0.3225806451612903,0.3488372093023256,0.3,0.33783783783783783,SVM,real,372,28,35,15,0.471729521189849,0.08,1,60,2
371,0.8866666666666667,0.5425,0.16393442622950818,0.45454545454545453,0.1,0.26595744680851063,RF_untuned,real,394,6,45,5,0.0,0.0,1,60,2
372,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,400,0,50,0,0.0,0.0,1,60,2
373,0.8888888888888888,0.57,0.24242424242424243,0.5,0.16,0.3508771929824561,XGB_untuned,real,392,8,42,8,0.002886394426745061,0.04,1,60,2
374,0.88,0.59125,0.28947368421052627,0.4230769230769231,0.22,0.35714285714285715,XGB,real,385,15,39,11,0.471729521189849,0.08,1,60,2
375,0.9,0.585,0.28571428571428575,0.6923076923076923,0.18,0.44117647058823534,LGB_untuned,real,396,4,41,9,0.002886394426745061,0.04,1,60,2
376,0.8933333333333333,0.56375,0.22580645161290325,0.5833333333333334,0.14,0.35714285714285715,LGB,real,395,5,43,7,0.002886394426745061,0.04,1,60,2
377,0.9,0.5675,0.23728813559322035,0.7777777777777778,0.14,0.40697674418604657,CatBoost_untuned,real,398,2,43,7,0.002886394426745061,0.04,1,60,2
378,0.9155555555555556,0.76,0.5957446808510639,0.6363636363636364,0.56,0.6194690265486726,LDA,real,192,8,11,14,2.2717302730269395,0.2,1,60,4
379,0.9333333333333333,0.77,0.6511627906976745,0.7777777777777778,0.56,0.7216494845360826,SVM,real,196,4,11,14,2.2717302730269395,0.2,1,60,4
380,0.9244444444444444,0.66,0.48484848484848486,1.0,0.32,0.7017543859649122,RF_untuned,real,200,0,17,8,0.462468018726699,0.1,1,60,4
381,0.9155555555555556,0.62,0.3870967741935484,1.0,0.24,0.6122448979591837,RF,real,200,0,19,6,0.462468018726699,0.1,1,60,4
382,0.9377777777777778,0.7375,0.631578947368421,0.9230769230769231,0.48,0.7792207792207793,XGB_untuned,real,199,1,13,12,0.462468018726699,0.1,1,60,4
383,0.92,0.745,0.5909090909090909,0.6842105263157895,0.52,0.6435643564356436,XGB,real,194,6,12,13,0.462468018726699,0.1,1,60,4
384,0.9288888888888889,0.6799999999999999,0.5294117647058824,1.0,0.36,0.7377049180327868,LGB_untuned,real,200,0,16,9,0.462468018726699,0.1,1,60,4
385,0.9288888888888889,0.6799999999999999,0.5294117647058824,1.0,0.36,0.7377049180327868,LGB,real,200,0,16,9,0.462468018726699,0.1,1,60,4
386,0.9244444444444444,0.66,0.48484848484848486,1.0,0.32,0.7017543859649122,CatBoost_untuned,real,200,0,17,8,0.0,0.0,1,60,4
387,0.9463087248322147,0.8049812030075187,0.7142857142857143,0.8333333333333334,0.625,0.78125,LDA,real,131,2,6,10,5.353739315689691,0.4,1,60,6
388,0.9530201342281879,0.8087406015037594,0.7407407407407406,0.9090909090909091,0.625,0.8333333333333333,SVM,real,132,1,6,10,0.0,0.0,1,60,6
389,0.9395973154362416,0.71875,0.6086956521739131,1.0,0.4375,0.7954545454545454,RF_untuned,real,133,0,9,7,0.0,0.0,1,60,6
390,0.9261744966442953,0.65625,0.47619047619047616,1.0,0.3125,0.6944444444444444,RF,real,133,0,11,5,0.0,0.0,1,60,6
391,0.9530201342281879,0.78125,0.72,1.0,0.5625,0.8653846153846154,XGB_untuned,real,133,0,7,9,0.0,0.0,1,60,6
392,0.9328859060402684,0.7424812030075187,0.6153846153846154,0.8,0.5,0.7142857142857143,XGB,real,131,2,8,8,1.5144868486846264,0.2,1,60,6
393,0.9261744966442953,0.6837406015037594,0.5217391304347825,0.8571428571428571,0.375,0.6818181818181819,LGB_untuned,real,132,1,10,6,0.0,0.0,1,60,6
394,0.9328859060402684,0.7699718045112782,0.6428571428571429,0.75,0.5625,0.703125,LGB,real,130,3,7,9,0.0,0.0,1,60,6
395,0.9261744966442953,0.65625,0.47619047619047616,1.0,0.3125,0.6944444444444444,CatBoost_untuned,real,133,0,11,5,0.0,0.0,1,60,6
396,0.9285714285714286,0.7766666666666666,0.6363636363636365,0.7,0.5833333333333334,0.6730769230769232,LDA,real,97,3,5,7,4.015304486767269,0.4,1,60,8
397,0.9732142857142857,0.875,0.8571428571428571,1.0,0.75,0.9375,SVM,real,100,0,3,9,4.015304486767269,0.4,1,60,8
398,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,RF_untuned,real,100,0,6,6,4.015304486767269,0.4,1,60,8
399,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,RF,real,100,0,6,6,1.1358651365134698,0.2,1,60,8
400,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,XGB_untuned,real,100,0,6,6,1.1358651365134698,0.2,1,60,8
401,0.9285714285714286,0.74,0.6,0.75,0.5,0.6818181818181818,XGB,real,98,2,6,6,0.0,0.0,1,60,8
402,0.9553571428571429,0.7916666666666667,0.7368421052631579,1.0,0.5833333333333334,0.875,LGB_untuned,real,100,0,5,7,4.015304486767269,0.4,1,60,8
403,0.9464285714285714,0.7866666666666666,0.7000000000000001,0.875,0.5833333333333334,0.7954545454545454,LGB,real,99,1,5,7,1.1358651365134698,0.2,1,60,8
404,0.9464285714285714,0.75,0.6666666666666666,1.0,0.5,0.8333333333333334,CatBoost_untuned,real,100,0,6,6,0.0,0.0,1,60,8
405,0.8844444444444445,0.536875,0.14754098360655737,0.4090909090909091,0.09,0.2393617021276596,LDA,real,787,13,91,9,0.0,0.0,4,60,1
406,0.8766666666666667,0.5806250000000001,0.26490066225165565,0.39215686274509803,0.2,0.32894736842105265,SVM,real,769,31,80,20,0.005772788853490122,0.04,4,60,1
407,0.8877777777777778,0.499375,0.0,0.0,0.0,,RF_untuned,real,799,1,100,0,0.0,0.0,4,60,1
408,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,800,0,100,0,0.0,0.0,4,60,1
409,0.89,0.518125,0.07476635514018691,0.5714285714285714,0.04,0.15624999999999997,XGB_untuned,real,797,3,96,4,0.0,0.0,4,60,1
410,0.88,0.5387500000000001,0.15625,0.35714285714285715,0.1,0.23584905660377364,XGB,real,782,18,90,10,0.0,0.0,4,60,1
411,0.8877777777777778,0.50375,0.019417475728155338,0.3333333333333333,0.01,0.044642857142857144,LGB_untuned,real,798,2,99,1,0.0,0.0,4,60,1
412,0.89,0.509375,0.038834951456310676,0.6666666666666666,0.02,0.08928571428571429,LGB,real,799,1,98,2,0.0,0.0,4,60,1
413,0.89,0.505,0.019801980198019802,1.0,0.01,0.04807692307692308,CatBoost_untuned,real,800,0,99,1,0.0,0.0,4,60,1
414,0.8866666666666667,0.6825,0.45161290322580644,0.4883720930232558,0.42,0.47297297297297297,LDA,real,378,22,29,21,0.471729521189849,0.08,4,60,2
415,0.8911111111111111,0.6675,0.4367816091954023,0.5135135135135135,0.38,0.4797979797979798,SVM,real,382,18,31,19,0.471729521189849,0.08,4,60,2
416,0.8977777777777778,0.54,0.14814814814814814,1.0,0.08,0.30303030303030304,RF_untuned,real,400,0,46,4,0.0,0.0,4,60,2
417,0.8888888888888888,0.5,0.0,0.0,0.0,,RF,real,400,0,50,0,0.0,0.0,4,60,2
418,0.9022222222222223,0.60375,0.3333333333333333,0.6875,0.22,0.4824561403508772,XGB_untuned,real,395,5,39,11,0.0,0.0,4,60,2
419,0.9,0.64625,0.41558441558441556,0.5925925925925926,0.32,0.5063291139240506,XGB,real,389,11,34,16,0.002886394426745061,0.04,4,60,2
420,0.8977777777777778,0.5575,0.20689655172413793,0.75,0.12,0.36585365853658536,LGB_untuned,real,398,2,44,6,0.0,0.0,4,60,2
421,0.9066666666666666,0.6325000000000001,0.4,0.7,0.28,0.5384615384615385,LGB,real,394,6,36,14,0.002886394426745061,0.04,4,60,2
422,0.9066666666666666,0.58875,0.3,0.9,0.18,0.49999999999999994,CatBoost_untuned,real,399,1,41,9,0.002886394426745061,0.04,4,60,2
423,0.92,0.78,0.6250000000000001,0.6521739130434783,0.6,0.6410256410256411,LDA,real,192,8,10,15,0.462468018726699,0.1,4,60,4
424,0.9377777777777778,0.79,0.6818181818181819,0.7894736842105263,0.6,0.7425742574257427,SVM,real,196,4,10,15,4.8607400019500915,0.3,4,60,4
425,0.9377777777777778,0.7375,0.631578947368421,0.9230769230769231,0.48,0.7792207792207793,RF_untuned,real,199,1,13,12,0.462468018726699,0.1,4,60,4
426,0.9066666666666666,0.58,0.2758620689655173,1.0,0.16,0.4878048780487805,RF,real,200,0,21,4,0.462468018726699,0.1,4,60,4
427,0.9422222222222222,0.7575000000000001,0.6666666666666666,0.9285714285714286,0.52,0.8024691358024691,XGB_untuned,real,199,1,12,13,2.2717302730269395,0.2,4,60,4
428,0.9377777777777778,0.755,0.65,0.8666666666666667,0.52,0.7647058823529413,XGB,real,198,2,12,13,4.8607400019500915,0.3,4,60,4
429,0.9422222222222222,0.7575000000000001,0.6666666666666666,0.9285714285714286,0.52,0.8024691358024691,LGB_untuned,real,199,1,12,13,0.0,0.0,4,60,4
430,0.9377777777777778,0.7725,0.6666666666666666,0.8235294117647058,0.56,0.7526881720430108,LGB,real,197,3,11,14,0.462468018726699,0.1,4,60,4
