,accuracy,balanced_accuracy,f1,precision,recall,fbeta,model,sampling,tn,fp,fn,tp,itr,bci_accuracy,channels,discretization,epochs,subject
1,0.963963963963964,0.9797979797979798,0.8571428571428571,0.75,1.0,0.7894736842105263,XGB_untuned,over,95,4,0,12,1.1358651365134698,0.2,8,32,8,dkv
2,0.9819819819819819,0.9898989898989898,0.923076923076923,0.8571428571428571,1.0,0.8823529411764707,LDA,over,97,2,0,12,12.886964431866199,0.8,8,32,8,dkv
0,0.9285714285714286,0.7766666666666666,0.6363636363636365,0.7,0.5833333333333334,0.6730769230769232,SVM,over,97,3,5,7,1.1358651365134698,0.2,8,32,8,ds
1,0.8839285714285714,0.825,0.5806451612903226,0.47368421052631576,0.75,0.5113636363636364,XGB_untuned,over,90,10,3,9,1.1358651365134698,0.2,8,32,8,ds
2,0.8660714285714286,0.6683333333333333,0.4,0.38461538461538464,0.4166666666666667,0.39062499999999994,LDA,over,92,8,7,5,1.1358651365134698,0.2,8,32,8,ds
0,0.9369369369369369,0.744949494949495,0.631578947368421,0.8571428571428571,0.5,0.75,SVM,over,98,1,6,6,4.015304486767269,0.4,8,32,8,dsi
1,0.8738738738738738,0.7462121212121212,0.5,0.4375,0.5833333333333334,0.4605263157894737,XGB_untuned,over,90,9,5,7,0.0,0.0,8,32,8,dsi
2,0.8828828828828829,0.7512626262626263,0.5185185185185186,0.4666666666666667,0.5833333333333334,0.48611111111111116,LDA,over,91,8,5,7,1.1358651365134698,0.2,8,32,8,dsi
0,0.8928571428571429,0.6833333333333333,0.45454545454545453,0.5,0.4166666666666667,0.4807692307692307,SVM,over,95,5,7,5,0.0,0.0,8,32,8,dzg
1,0.8035714285714286,0.7433333333333333,0.42105263157894735,0.3076923076923077,0.6666666666666666,0.3448275862068965,XGB_untuned,over,82,18,4,8,0.0,0.0,8,32,8,dzg
2,0.8214285714285714,0.7166666666666667,0.4117647058823529,0.3181818181818182,0.5833333333333334,0.35,LDA,over,85,15,5,7,0.0,0.0,8,32,8,dzg
0,0.8288288288288288,0.5744949494949495,0.24000000000000002,0.23076923076923078,0.25,0.234375,SVM,over,89,10,9,3,0.0,0.0,8,32,8,eab
1,0.7837837837837838,0.6224747474747475,0.29411764705882354,0.22727272727272727,0.4166666666666667,0.24999999999999997,XGB_untuned,over,82,17,7,5,1.1358651365134698,0.2,8,32,8,eab
2,0.7837837837837838,0.5492424242424243,0.2,0.16666666666666666,0.25,0.17857142857142855,LDA,over,84,15,9,3,0.0,0.0,8,32,8,eab
0,0.9,0.7610544217687075,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.546875,SVM,over,92,6,5,7,1.1358651365134698,0.2,8,32,8,en
1,0.8636363636363636,0.8137755102040816,0.5454545454545454,0.42857142857142855,0.75,0.46875000000000006,XGB_untuned,over,86,12,3,9,4.015304486767269,0.4,8,32,8,en
2,0.9,0.870748299319728,0.6451612903225806,0.5263157894736842,0.8333333333333334,0.5681818181818181,LDA,over,89,9,2,10,4.015304486767269,0.4,8,32,8,en
0,0.9375,0.8183333333333334,0.6956521739130435,0.7272727272727273,0.6666666666666666,0.7142857142857144,SVM,over,97,3,4,8,7.932337585218177,0.6,8,32,8,fks
1,0.9196428571428571,0.8083333333333333,0.64,0.6153846153846154,0.6666666666666666,0.625,XGB_untuned,over,95,5,4,8,7.932337585218177,0.6,8,32,8,fks
2,0.9196428571428571,0.7716666666666667,0.6086956521739131,0.6363636363636364,0.5833333333333334,0.625,LDA,over,96,4,5,7,0.0,0.0,8,32,8,fks
0,0.963963963963964,0.869949494949495,0.8181818181818182,0.9,0.75,0.8653846153846154,SVM,over,98,1,3,9,7.932337585218177,0.6,8,32,8,hra
1,0.8918918918918919,0.7929292929292929,0.5714285714285715,0.5,0.6666666666666666,0.5263157894736842,XGB_untuned,over,91,8,4,8,1.1358651365134698,0.2,8,32,8,hra
2,0.9279279279279279,0.7765151515151516,0.6363636363636365,0.7,0.5833333333333334,0.6730769230769232,LDA,over,96,3,5,7,4.015304486767269,0.4,8,32,8,hra
0,0.8928571428571429,0.7933333333333333,0.5714285714285715,0.5,0.6666666666666666,0.5263157894736842,SVM,over,92,8,4,8,1.1358651365134698,0.2,8,32,8,ieh
1,0.8660714285714286,0.815,0.5454545454545454,0.42857142857142855,0.75,0.46875000000000006,XGB_untuned,over,88,12,3,9,1.1358651365134698,0.2,8,32,8,ieh
2,0.9017857142857143,0.835,0.6206896551724139,0.5294117647058824,0.75,0.5625,LDA,over,92,8,3,9,4.015304486767269,0.4,8,32,8,ieh
0,0.9732142857142857,0.9116666666666666,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.8928571428571428,SVM,over,99,1,2,10,1.1358651365134698,0.2,8,32,8,ik
1,0.9017857142857143,0.7616666666666667,0.5599999999999999,0.5384615384615384,0.5833333333333334,0.546875,XGB_untuned,over,94,6,5,7,4.015304486767269,0.4,8,32,8,ik
2,0.9375,0.855,0.7199999999999999,0.6923076923076923,0.75,0.703125,LDA,over,96,4,3,9,4.015304486767269,0.4,8,32,8,ik
0,0.8378378378378378,0.5063131313131313,0.1,0.125,0.08333333333333333,0.11363636363636363,SVM,over,92,7,11,1,0.0,0.0,8,32,8,irk
1,0.7657657657657657,0.5391414141414141,0.18749999999999997,0.15,0.25,0.16304347826086957,XGB_untuned,over,82,17,9,3,0.0,0.0,8,32,8,irk
2,0.8018018018018018,0.5593434343434344,0.21428571428571427,0.1875,0.25,0.19736842105263158,LDA,over,86,13,9,3,0.0,0.0,8,32,8,irk
0,0.8828828828828829,0.6047979797979798,0.3157894736842105,0.42857142857142855,0.25,0.375,SVM,over,95,4,9,3,0.0,0.0,8,32,8,kka
1,0.8378378378378378,0.6161616161616161,0.30769230769230765,0.2857142857142857,0.3333333333333333,0.2941176470588235,XGB_untuned,over,89,10,8,4,0.0,0.0,8,32,8,kka
2,0.8918918918918919,0.5732323232323232,0.25,0.5,0.16666666666666666,0.35714285714285715,LDA,over,97,2,10,2,1.1358651365134698,0.2,8,32,8,kka
